,F1,F2
count,572.0,572.0
mean,-0.0791103747528731,-0.047122326019907214
std,0.8885199431676729,0.959924140787826
min,-2.3114652742898936,-1.9107794685468298
25%,-0.6279167010201119,-0.6509157368536022
50%,-0.2545693244388489,-0.09334463188207334
75%,0.3143008142050943,0.49674050038382656
max,3.626195003351237,3.6593511640888545
