,挫折感,服务中断,中断服务之时间过多,不认同项目目标,志愿服务现状满意度,F1,F2,初衷实现
挫折感,1.0,0.5224178646538126,-0.15603563609820467,0.054518336272745,0.15081608052269316,0.21626449652242732,-0.21590775258951647,0.3858295768337708
服务中断,0.5224178646538126,1.0,,,0.18745853348444588,0.20566835207886602,-0.15017618982478712,0.1620715287280504
中断服务之时间过多,-0.15603563609820467,,1.0,-0.4885979682843504,0.0573268802724807,-0.004134504595100203,-0.08041076942784466,-0.19517335786562354
不认同项目目标,0.054518336272745,,-0.4885979682843504,1.0,0.23730124565226976,0.2261163205019253,-0.06660106825409103,0.0899235973995271
志愿服务现状满意度,0.15081608052269316,0.18745853348444588,0.0573268802724807,0.23730124565226976,1.0,0.5441471254840399,-0.28484745300304204,0.1994714147001332
F1,0.21626449652242732,0.20566835207886602,-0.004134504595100203,0.2261163205019253,0.5441471254840399,1.0,-0.18551631208420313,0.2563440180734196
F2,-0.21590775258951647,-0.15017618982478712,-0.08041076942784466,-0.06660106825409103,-0.28484745300304204,-0.18551631208420313,1.0,-0.13503887197800282
初衷实现,0.3858295768337708,0.1620715287280504,-0.19517335786562354,0.0899235973995271,0.1994714147001332,0.2563440180734196,-0.13503887197800282,1.0
