变量,系数,标准误,z值,p值
const,-1.294156285521196,0.42857375333944814,-3.019681619411189,0.0025304052885028404
挫折感_z,1.5819661222518628,0.2990751049629936,5.289527934622339,1.2263245264584685e-07
参与项目总数_z,-0.05277701260078021,0.21796878362679306,-0.24213105988215816,0.8086786118248763
管理层,0.4635055803583987,0.5289831830971723,0.876219878379866,0.38091051196238235
高年级,1.0154003817077606,0.47375349697852187,2.143309523167055,0.032088252651064256
服务总时长_z,-0.007004634065834062,0.21903408497998714,-0.03197965315066861,0.9744882770309434
